Order_ID,Day_Of_Week,Month,Year,Date,Order_Time,User_ID
1,5,9,2021,11,22,18
2,4,3,2023,12,21,483
3,3,9,2022,14,7,138
4,6,9,2023,14,10,120
5,6,5,2022,4,14,407
6,1,8,2021,7,10,47
7,6,5,2022,9,10,295
8,4,3,2023,23,21,478
9,1,7,2022,2,17,386
10,4,10,2022,14,23,132
11,7,4,2021,26,23,80
12,3,1,2022,26,3,402
13,2,1,2021,7,0,217
14,4,11,2022,11,12,216
15,1,5,2023,28,19,375
16,7,6,2021,11,22,376
17,6,1,2023,29,14,56
18,4,7,2021,8,14,110
19,4,11,2023,5,3,174
20,4,5,2022,17,20,307
21,2,10,2021,27,4,400
22,2,3,2021,4,10,11
23,4,4,2021,14,1,125
24,6,8,2021,10,8,141
25,2,1,2021,15,11,264
26,6,1,2021,25,15,125
27,3,9,2023,10,0,462
28,7,6,2023,18,4,378
29,4,9,2021,9,3,4
30,7,11,2022,21,9,408
31,6,1,2021,13,2,245
32,4,7,2022,28,14,378
33,6,5,2021,20,5,204
34,6,7,2021,11,20,334
35,4,7,2023,28,6,108
36,1,11,2023,23,5,466
37,5,2,2021,21,11,459
38,3,7,2022,18,9,181
39,5,11,2023,2,0,275
40,7,7,2023,22,16,439
41,5,10,2021,14,10,420
42,1,4,2021,20,22,98
43,6,11,2021,28,0,157
44,7,4,2023,21,21,431
45,4,6,2021,24,17,214
46,3,12,2022,29,16,206
47,1,7,2022,11,2,425
48,2,6,2022,19,23,238
49,2,1,2022,4,10,171
50,2,6,2021,20,0,52
51,2,4,2023,18,17,350
52,4,2,2022,2,6,400
53,2,11,2023,23,0,315
54,5,12,2021,21,4,151
55,3,7,2022,22,10,293
56,3,11,2021,9,13,304
57,7,12,2022,26,16,207
58,6,1,2021,2,0,158
59,3,6,2023,13,10,275
60,1,7,2021,6,10,392
61,2,2,2022,22,18,267
62,1,2,2022,18,11,274
63,5,12,2022,5,0,390
64,2,2,2021,8,17,490
65,2,6,2023,29,13,73
66,1,11,2023,13,13,360
67,2,7,2023,31,16,22
68,2,5,2022,23,7,162
69,5,1,2021,25,16,40
70,6,12,2022,17,0,210
71,6,7,2021,24,14,43
72,7,11,2023,18,0,39
73,6,7,2022,21,18,212
74,3,1,2021,17,17,320
75,7,8,2023,31,10,51
76,3,5,2021,15,13,172
77,1,10,2022,2,8,21
78,5,7,2023,26,11,464
79,5,1,2022,31,1,380
80,1,4,2023,3,22,253
81,7,11,2021,9,4,118
82,3,9,2023,2,15,469
83,3,1,2022,1,8,216
84,3,7,2022,8,6,449
85,6,7,2023,27,15,255
86,4,4,2023,25,17,452
87,5,4,2021,23,14,452
88,5,10,2023,15,10,76
89,6,4,2021,17,2,123
90,1,4,2021,30,18,136
91,3,9,2022,4,2,247
92,1,1,2021,25,15,85
93,1,12,2022,19,11,105
94,1,8,2021,2,6,350
95,7,12,2023,16,19,77
96,6,8,2021,17,18,313
97,6,9,2023,27,21,17
98,7,9,2022,4,9,178
99,1,6,2021,7,3,133
100,2,4,2023,2,16,34
101,5,3,2021,9,21,374
102,1,4,2023,22,4,227
103,4,6,2021,29,1,336
104,7,3,2023,4,16,162
105,3,6,2023,16,20,137
106,2,6,2023,22,8,221
107,4,3,2021,28,3,128
108,6,12,2023,5,8,163
109,3,7,2021,17,20,387
110,3,5,2022,9,9,245
111,3,5,2022,3,8,63
112,2,7,2021,25,16,207
113,3,11,2022,3,11,117
114,4,10,2021,24,22,357
115,2,11,2021,22,3,167
116,5,5,2022,25,9,32
117,3,5,2022,11,18,266
118,5,4,2022,3,14,50
119,4,9,2022,21,17,422
120,2,7,2021,7,3,116
121,3,6,2022,4,6,346
122,6,2,2022,4,3,70
123,3,3,2021,14,22,112
124,7,8,2021,20,4,307
125,2,2,2021,12,21,28
126,1,8,2021,27,4,9
127,4,6,2022,11,14,130
128,6,7,2022,3,21,325
129,3,1,2021,8,18,448
130,6,6,2023,5,4,106
131,4,7,2021,9,20,265
132,6,2,2022,22,1,495
133,7,4,2022,28,5,331
134,4,1,2022,7,22,288
135,4,9,2022,29,23,431
136,1,7,2021,14,9,345
137,5,6,2021,24,8,72
138,7,5,2021,25,0,483
139,6,1,2023,18,10,125
140,6,1,2023,29,18,446
141,5,1,2021,25,9,418
142,3,7,2022,1,23,250
143,1,1,2022,22,15,316
144,1,10,2023,4,19,412
145,7,7,2021,11,22,140
146,3,7,2022,6,22,193
147,3,12,2022,17,14,211
148,4,8,2023,21,5,468
149,2,7,2021,27,5,450
150,5,7,2023,29,20,4
151,3,5,2022,13,12,203
152,2,5,2022,24,23,277
153,2,3,2022,9,18,5
154,4,4,2021,19,10,410
155,2,10,2023,23,7,115
156,6,1,2023,23,22,486
157,3,5,2023,11,15,336
158,3,12,2023,29,23,155
159,1,1,2023,10,5,432
160,6,6,2023,30,11,315
161,3,5,2022,8,4,494
162,3,9,2021,24,17,358
163,3,11,2021,21,6,439
164,7,1,2022,22,7,107
165,6,8,2023,28,23,263
166,2,10,2022,23,14,6
167,7,9,2022,9,1,370
168,7,4,2021,19,8,136
169,5,10,2021,31,9,285
170,7,6,2022,26,15,410
171,3,4,2021,31,22,457
172,3,8,2021,7,20,254
173,4,1,2021,14,21,174
174,3,7,2022,2,23,376
175,7,11,2023,10,8,262
176,2,9,2022,10,18,78
177,2,8,2021,10,4,371
178,3,8,2021,14,8,187
179,2,12,2021,8,2,215
180,1,11,2023,5,1,95
181,1,12,2022,31,10,499
182,4,5,2023,27,1,112
183,2,7,2021,30,8,174
184,7,6,2021,24,9,20
185,4,12,2021,28,10,179
186,5,2,2022,28,1,123
187,4,10,2021,18,18,495
188,3,9,2022,4,0,389
189,3,9,2023,27,19,257
190,3,2,2022,31,12,241
191,6,2,2022,9,12,402
192,2,12,2021,29,13,70
193,3,9,2023,13,1,196
194,7,1,2022,16,18,395
195,5,2,2021,25,11,262
196,1,8,2023,31,21,321
197,3,6,2023,31,9,190
198,3,10,2022,21,22,373
199,3,6,2021,26,2,122
200,6,12,2022,20,7,89
201,6,6,2021,31,10,217
202,3,10,2021,14,21,334
203,5,10,2022,18,15,431
204,7,3,2023,31,11,135
205,7,10,2023,30,2,365
206,3,3,2021,16,8,347
207,5,6,2021,12,12,401
208,6,12,2021,22,22,183
209,1,2,2023,29,8,86
210,2,1,2023,19,2,138
211,1,10,2022,22,11,1
212,4,1,2021,15,9,318
213,6,5,2021,3,5,422
214,2,11,2022,24,17,133
215,1,4,2022,28,7,332
216,7,10,2022,2,8,482
217,6,7,2023,15,21,220
218,7,11,2023,6,22,411
219,3,4,2021,17,9,313
220,2,2,2021,20,23,257
221,3,9,2021,21,17,74
222,3,3,2023,15,22,332
223,1,2,2021,17,14,324
224,2,1,2023,26,22,276
225,3,8,2021,2,10,86
226,7,6,2023,16,9,261
227,3,7,2023,24,4,319
228,2,5,2022,24,7,226
229,2,6,2023,17,7,253
230,4,10,2021,9,10,173
231,5,3,2023,3,3,62
232,2,2,2022,24,16,274
233,6,6,2022,24,6,362
234,2,12,2022,22,5,444
235,1,2,2022,14,21,426
236,7,1,2022,12,9,495
237,3,3,2021,20,19,165
238,1,7,2023,26,14,433
239,3,9,2021,2,13,87
240,1,1,2023,31,12,384
241,6,3,2021,16,5,216
242,1,2,2021,16,21,349
243,7,1,2021,20,0,352
244,2,8,2021,9,16,399
245,5,8,2023,25,20,7
246,1,3,2023,10,17,192
247,2,1,2023,4,16,469
248,6,6,2023,29,9,197
249,1,4,2022,11,22,47
250,5,9,2023,5,5,306
251,4,8,2023,10,15,341
252,5,3,2022,11,10,128
253,3,10,2023,31,15,2
254,5,4,2023,18,10,360
255,7,9,2022,19,18,129
256,3,1,2021,17,16,96
257,3,1,2023,9,11,116
258,7,8,2022,4,1,92
259,7,10,2022,5,2,428
260,5,6,2021,6,20,463
261,1,3,2021,15,4,119
262,5,5,2021,6,13,406
263,4,1,2023,18,15,411
264,1,12,2021,29,23,387
265,3,10,2021,17,0,230
266,3,2,2022,15,9,412
267,5,2,2021,16,15,480
268,6,12,2023,9,9,317
269,2,8,2023,10,2,180
270,7,5,2021,12,23,214
271,5,8,2021,20,18,366
272,5,11,2021,14,7,146
273,6,10,2023,28,20,472
274,3,11,2023,23,17,294
275,1,5,2021,18,4,398
276,6,10,2023,1,20,230
277,4,3,2022,16,4,117
278,6,10,2023,20,3,185
279,2,3,2021,9,14,166
280,4,12,2021,8,11,197
281,1,10,2021,3,19,370
282,1,4,2023,15,23,281
283,3,4,2023,16,11,135
284,4,6,2023,12,2,248
285,5,4,2022,27,1,35
286,2,6,2021,6,4,356
287,2,2,2023,17,22,70
288,3,8,2021,19,1,187
289,3,6,2021,10,3,188
290,4,2,2023,3,14,497
291,6,1,2022,9,14,316
292,4,11,2022,8,18,12
293,4,9,2023,29,2,151
294,6,4,2021,26,23,213
295,4,1,2021,15,2,264
296,1,10,2022,29,10,364
297,7,8,2023,7,20,316
298,6,7,2023,1,15,402
299,1,9,2023,23,4,496
300,1,7,2022,8,6,191
301,6,7,2022,8,8,328
302,6,5,2023,20,21,347
303,6,6,2023,26,12,267
304,2,7,2022,7,6,303
305,3,9,2022,8,12,242
306,4,3,2022,21,11,262
307,1,3,2022,21,4,33
308,1,9,2023,23,19,498
309,2,6,2021,25,19,370
310,1,3,2022,11,12,91
311,6,2,2022,1,21,95
312,3,11,2022,18,4,208
313,1,10,2023,9,14,475
314,3,12,2023,26,14,176
315,5,10,2023,29,5,233
316,4,4,2021,18,22,312
317,5,5,2022,11,19,178
318,5,2,2023,29,4,212
319,6,11,2023,23,3,412
320,2,8,2023,18,9,70
321,5,11,2023,27,0,169
322,1,9,2021,25,16,184
323,1,5,2021,15,10,23
324,6,4,2022,31,12,199
325,2,2,2022,30,20,395
326,7,4,2021,13,17,363
327,4,12,2021,6,19,70
328,3,6,2023,6,11,209
329,7,5,2022,5,1,14
330,3,12,2021,3,22,293
331,2,8,2021,13,16,304
332,2,8,2023,27,15,413
333,2,9,2022,28,20,375
334,5,7,2023,6,19,342
335,3,5,2023,31,22,458
336,2,8,2022,16,0,403
