Reservation_ID,Day_Of_Week,Date,Reservation_Time,Number_of_Guests,User_ID,Table_ID
1,6,21,10:30,7,494,8
2,3,21,12:30,7,389,15
3,5,28,15:30,6,308,18
4,6,11,10:00,8,458,3
5,6,23,09:00,6,321,6
6,1,23,19:00,8,417,18
7,2,3,09:00,8,252,8
8,2,11,12:00,5,337,17
9,4,13,12:30,8,184,15
10,7,14,15:00,2,188,5
11,4,2,14:30,6,60,10
12,5,7,18:30,4,480,8
13,7,10,15:00,6,500,19
14,4,30,15:30,5,98,18
15,2,13,20:00,5,82,4
16,5,26,17:30,2,431,18
17,3,24,15:00,7,63,3
18,7,27,10:30,6,364,13
19,6,16,15:00,6,407,6
20,2,6,19:00,4,322,7
21,3,20,19:00,5,195,10
22,5,15,10:30,7,330,1
23,4,28,13:00,4,31,11
24,4,25,19:00,2,162,15
25,2,22,14:30,8,11,14
26,4,24,18:30,5,385,17
27,4,18,17:30,4,48,6
28,6,10,15:30,4,118,10
29,2,9,12:30,4,122,13
30,7,24,16:30,5,201,14
31,4,25,09:30,5,158,4
32,1,2,12:00,6,490,5
33,7,20,17:00,6,235,11
34,1,26,12:00,3,340,8
35,6,10,19:30,6,246,13
36,1,10,15:30,2,322,5
37,7,7,12:00,5,116,6
38,7,13,20:00,4,23,11
39,3,23,18:00,3,204,16
40,4,20,11:00,6,65,18
41,4,8,14:00,3,248,2
42,6,9,11:00,7,62,4
43,7,6,18:00,8,112,2
44,6,10,10:00,3,369,13
45,5,19,17:30,8,459,1
46,1,29,09:00,7,333,8
47,1,7,13:30,8,359,18
48,3,16,10:30,8,167,4
49,4,11,11:30,7,216,14
50,3,27,18:00,2,175,14
